date_time,player_id,specialization_name
2019-12-28T20:48:39.556Z,pcfd6bd3,Demolitionist
2019-12-28T22:13:27.449Z,pcfd6bd3,survivalist
2019-12-28T22:16:59.907Z,pcfd6bd3,Demolitionist
2019-12-28T22:18:00.233Z,pcfd6bd3,survivalist
2019-12-28T23:08:31.051Z,pcfd6bd3,Demolitionist
2019-12-28T07:55:55.308Z,pc75fcf9,sharpshooter
2020-03-28T10:00:07.679Z,pccf3eb5,Demolitionist
2020-03-28T13:34:09.674Z,pc5925cd,gunner
2020-03-28T19:21:17.702Z,pceda48f,sharpshooter
2020-03-28T22:22:14.096Z,pceda48f,survivalist
2020-03-28T03:22:15.414Z,pc21df4f,gunner
2020-03-28T03:34:26.455Z,pc21df4f,gunner
2020-03-28T04:04:26.320Z,pc21df4f,flamethrower
2020-03-28T04:10:03.350Z,pc21df4f,gunner
2020-03-28T08:57:33.562Z,pc5ca414,Demolitionist
2020-03-28T13:57:00.834Z,pc69b5a4,technician
2020-03-28T15:57:09.051Z,pc69b5a4,technician
2020-03-28T17:54:24.458Z,pc24704c,survivalist
2020-03-28T17:55:55.104Z,pc24704c,technician
2020-03-28T19:30:10.147Z,pc24704c,Demolitionist
2020-03-28T16:18:11.954Z,pcfcbf49,survivalist
2020-03-28T16:19:42.680Z,pcfcbf49,survivalist
2020-03-28T16:20:13.024Z,pcfcbf49,technician
2020-03-28T18:36:32.693Z,pcfcbf49,survivalist
2020-03-28T00:17:14.096Z,pcfe7b3f,gunner
2020-03-28T01:06:04.673Z,pcfe7b3f,flamethrower
2020-03-28T15:56:26.257Z,pcfe7b3f,gunner
2020-03-28T16:48:49.834Z,pcfe7b3f,sharpshooter
2020-03-28T17:02:55.385Z,pcfe7b3f,gunner
2020-03-28T17:26:34.894Z,pcfe7b3f,flamethrower
2020-03-28T17:37:08.391Z,pcfe7b3f,Demolitionist
2020-03-28T17:40:39.622Z,pcfe7b3f,gunner
2020-03-28T21:48:52.735Z,pcfe7b3f,gunner
2020-03-28T22:01:31.640Z,pcfe7b3f,gunner
2020-03-28T22:33:44.597Z,pcfe7b3f,gunner
2020-03-28T22:55:57.449Z,pcfe7b3f,gunner
2020-02-15T20:54:29.771Z,pc77f512,gunner
2020-02-15T20:56:00.320Z,pc77f512,gunner
2020-02-15T21:23:34.462Z,pc867b9a,flamethrower
2020-02-15T21:25:04.931Z,pc867b9a,gunner
2020-02-15T13:28:58.073Z,pc080ada,flamethrower
2020-02-15T14:26:12.431Z,pcbdf81b,Demolitionist
2020-02-15T15:17:24.756Z,pcbdf81b,Demolitionist
2020-02-15T12:14:31.116Z,pc0cf721,survivalist
2020-02-15T00:02:27.653Z,pcfe7b3f,gunner
2020-02-15T00:04:58.679Z,pcfe7b3f,technician
2020-02-15T00:06:59.543Z,pcfe7b3f,sharpshooter
2020-02-15T00:28:12.532Z,pcfe7b3f,sharpshooter
2020-02-15T00:56:14.698Z,pcfe7b3f,Demolitionist
2020-02-15T10:39:10.635Z,pcfe7b3f,sharpshooter
2020-02-15T10:47:45.351Z,pcfe7b3f,Demolitionist
2020-02-15T14:08:52.028Z,pcfe7b3f,Demolitionist
2020-02-15T18:21:16.078Z,pcfe7b3f,sharpshooter
2020-02-15T18:24:18.129Z,pcfe7b3f,sharpshooter
2020-02-15T18:25:49.142Z,pcfe7b3f,sharpshooter
2020-02-15T19:51:02.691Z,pcfe7b3f,Demolitionist
2020-02-15T13:00:53.627Z,pc5376ff,technician
2020-02-15T09:09:13.373Z,pc7c9168,flamethrower
2020-02-15T11:50:40.799Z,pc7c9168,Demolitionist
2020-02-15T12:51:29.329Z,pc7c9168,flamethrower
2020-02-15T19:06:55.994Z,pc7c9168,flamethrower
2020-02-15T22:25:33.986Z,pc7c9168,Demolitionist
2020-02-15T23:36:34.600Z,pc7c9168,flamethrower
2020-02-15T20:56:00.320Z,pc77f512,technician
2020-02-15T20:56:30.526Z,pc77f512,sharpshooter
2020-02-15T20:59:01.592Z,pc77f512,technician
2020-02-15T20:59:01.592Z,pc77f512,sharpshooter
2020-02-15T21:22:34.000Z,pc867b9a,gunner
2020-02-15T21:24:04.671Z,pc867b9a,technician
2020-02-15T17:38:42.553Z,pc6ad68c,Demolitionist
2020-02-15T21:53:00.612Z,pc307983,sharpshooter
2020-02-15T13:29:28.442Z,pc080ada,technician
2020-02-15T14:28:17.831Z,pc080ada,Demolitionist
2020-02-15T14:28:48.195Z,pc080ada,technician
2020-02-15T13:04:38.077Z,pcbdf81b,survivalist
2020-02-15T14:26:12.431Z,pcbdf81b,technician
2020-02-15T14:34:08.832Z,pcbdf81b,survivalist
2020-02-15T14:34:08.832Z,pcbdf81b,Demolitionist
2020-02-15T15:09:17.776Z,pcbdf81b,survivalist
2020-02-15T13:45:16.973Z,pce1f4c4,Demolitionist
2020-02-15T15:56:44.980Z,pcfcbf49,sharpshooter
2020-01-22T00:56:30.532Z,pc33d8ba,sharpshooter
2020-01-22T05:51:39.784Z,pc9853d3,survivalist
2020-01-22T05:52:40.034Z,pc9853d3,sharpshooter
2020-01-22T05:53:10.231Z,pc9853d3,Demolitionist
2020-01-22T16:18:19.112Z,pcc34b7b,survivalist
2020-01-22T16:30:23.226Z,pcc34b7b,Demolitionist
2020-01-22T17:00:33.867Z,pcc34b7b,sharpshooter
2020-01-22T17:09:38.696Z,pcc34b7b,Demolitionist
2020-01-22T17:44:28.013Z,pcc34b7b,survivalist
2020-01-22T18:18:40.144Z,pcc34b7b,sharpshooter
2020-01-22T08:51:00.308Z,pc9f6ec7,sharpshooter
2020-01-22T08:58:03.262Z,pc9f6ec7,gunner
2020-01-22T18:29:00.243Z,pc9d0e19,Demolitionist
2020-01-22T09:41:04.744Z,pc710f2f,gunner
