date_time,skill_left,skill_right,player_level,player_id
2020-02-08T09:39:27.114Z,drone,seekermine,30,pc7c9168
2020-03-22T12:13:35.542Z,turret,seekermine,22,pc8649fa
2020-03-22T00:17:53.655Z,trap,turret,40,pc47a461
2020-03-14T15:43:26.391Z,firefly,drone,30,pc6ae36f
2020-03-28T14:24:13.262Z,turret,drone,40,pc2b0dee
2020-03-28T10:05:03.051Z,pulse,firefly,40,pcf66328
2020-02-29T08:25:05.179Z,turret,chemlauncher,30,pcc7b273
2020-02-29T19:03:53.043Z,turret,shield,30,pc7303b1
2020-02-29T13:40:27.637Z,turret,seekermine,30,pc5bf7e8
2020-01-07T11:48:29.205Z,drone,seekermine,14,pcac07bc
2020-01-07T13:58:47.764Z,pulse,turret,30,pcce4d39
2020-01-07T14:16:26.263Z,drone,turret,30,pc461c6c
2020-01-07T10:13:33.383Z,drone,hive,9,pc1771c0
2020-01-07T13:28:13.369Z,drone,hive,11,pc1771c0
2020-01-07T12:47:12.109Z,drone,hive,30,pc080ada
2020-01-07T15:15:02.550Z,hive,seekermine,30,pce38df3
2020-01-07T22:03:03.142Z,chemlauncher,seekermine,30,pc4ef8c8
2020-01-07T12:56:38.668Z,drone,hive,30,pc69b5a4
2020-01-07T14:03:22.371Z,drone,hive,30,pc69b5a4
2020-01-07T10:21:42.072Z,drone,turret,30,pc24704c
2020-01-07T21:58:35.707Z,drone,turret,30,pc24704c
2020-01-07T18:23:29.591Z,seekermine,drone,30,pc01efb6
2020-01-07T16:38:28.303Z,chemlauncher,drone,30,pc9f6ec7
2020-01-07T18:05:52.818Z,drone,seekermine,30,pc9d0e19
2020-01-07T15:48:06.526Z,hive,turret,30,pcfcbf49
2020-01-07T17:24:51.715Z,pulse,chemlauncher,30,pcf1f6ba
2020-01-07T10:11:13.798Z,drone,seekermine,30,pc7c9168
2020-01-07T20:45:50.055Z,drone,seekermine,30,pc7c9168
2020-01-07T23:56:12.737Z,hive,drone,30,pcfe7b3f
2020-01-17T11:49:44.642Z,turret,hive,30,pc900262
2020-01-17T22:42:57.504Z,turret,drone,30,pca674af
2020-01-17T03:08:27.330Z,drone,turret,23,pc83a495
2020-01-17T13:05:14.900Z,chemlauncher,seekermine,30,pc9853d3
2020-01-17T09:26:07.823Z,chemlauncher,seekermine,30,pc4ef8c8
2020-01-17T10:12:29.612Z,drone,hive,30,pc69b5a4
2020-01-17T07:06:03.412Z,chemlauncher,hive,30,pc9f6ec7
2020-01-17T19:00:06.014Z,drone,turret,30,pc1a80a5
2020-01-17T21:54:41.654Z,drone,turret,30,pc1a80a5
2020-01-17T12:54:41.036Z,drone,turret,30,pc7c9168
2020-01-17T20:40:31.048Z,drone,seekermine,30,pc7c9168
2020-01-17T19:36:30.322Z,chemlauncher,hive,30,pcfe7b3f
2020-01-17T20:41:07.163Z,chemlauncher,hive,30,pcfe7b3f
2020-01-17T22:11:50.503Z,hive,drone,30,pcfe7b3f
2020-01-17T22:22:26.154Z,hive,drone,30,pcfe7b3f
2020-02-25T20:22:41.067Z,drone,hive,7,pc02b2e0
2020-02-25T06:45:48.300Z,seekermine,turret,30,pc71657e
2020-03-26T12:32:13.592Z,hive,trap,40,pc20342f
2020-03-26T17:15:15.078Z,hive,turret,30,pc7a8648
2020-03-26T12:36:37.356Z,shield,drone,40,pc21df4f
2020-03-26T12:50:06.656Z,hive,shield,40,pccae9d7
2020-03-26T13:32:33.446Z,hive,pulse,40,pccae9d7
2020-03-26T00:13:41.328Z,seekermine,hive,30,pc46d471
2020-03-26T22:00:49.014Z,drone,seekermine,40,pc24704c
2020-03-21T12:33:13.181Z,turret,,2,pceb763b
2020-03-21T06:31:54.145Z,turret,hive,19,pccf3eb5
2020-03-21T06:04:04.310Z,seekermine,hive,40,pcf35a1c
2020-03-21T17:25:34.175Z,seekermine,hive,40,pc10a5ab
2020-03-21T10:46:49.392Z,hive,seekermine,30,pc24704c
2019-12-13T00:41:13.413Z,seekermine,drone,8,pc6bcca3
2019-12-13T12:39:42.214Z,drone,seekermine,12,pcdbba21
2019-12-13T18:19:08.450Z,drone,seekermine,17,pca9aeef
2019-12-13T14:16:46.950Z,seekermine,hive,26,pcb357c0
2019-12-13T19:03:04.869Z,turret,drone,12,pcd576ac
2019-12-13T02:50:02.534Z,shield,drone,19,pc8bef03
2019-12-13T22:58:01.205Z,drone,hive,20,pc098819
2019-12-13T19:38:13.142Z,drone,turret,20,pc812b39
2019-12-13T14:34:45.378Z,hive,seekermine,30,pc7c62b7
2019-12-13T17:10:56.962Z,hive,pulse,30,pcb77ffa
2019-12-13T22:20:23.209Z,drone,turret,30,pc41844a
2019-12-13T18:54:52.646Z,drone,turret,30,pc87fe7b
2019-12-13T16:22:57.607Z,seekermine,pulse,30,pc7b9dbc
2019-12-13T16:03:02.836Z,drone,turret,18,pc9a1c13
2019-12-13T09:39:16.981Z,drone,turret,30,pc6380b7
2019-12-13T06:20:41.807Z,drone,,10,pc718e2b
2019-12-13T07:28:35.747Z,drone,,11,pc718e2b
2019-12-13T19:36:20.939Z,hive,chemlauncher,30,pc16d779
2019-12-13T22:05:00.224Z,seekermine,drone,30,pc6d2228
2019-12-13T22:26:52.746Z,seekermine,drone,30,pc6d2228
2019-12-13T18:43:23.537Z,drone,turret,30,pc1bc3e0
2019-12-13T16:06:47.760Z,hive,turret,30,pca63445
2019-12-13T01:00:08.420Z,hive,chemlauncher,30,pc8510c3
2019-12-13T01:33:33.430Z,turret,seekermine,30,pcf8c2e0
2019-12-13T08:02:32.534Z,hive,chemlauncher,30,pc68ba69
2019-12-13T23:40:36.536Z,hive,chemlauncher,30,pc68ba69
2019-12-13T16:28:56.767Z,hive,seekermine,30,pc586e65
2019-12-13T14:29:33.227Z,hive,chemlauncher,30,pcb34db4
2019-12-13T05:41:07.122Z,seekermine,turret,30,pc71657e
2019-12-13T14:33:49.658Z,seekermine,turret,30,pc71657e
2019-12-13T20:57:55.956Z,turret,drone,30,pc2b0dee
2019-12-13T22:57:47.416Z,turret,drone,30,pc2b0dee
2020-03-29T06:14:35.536Z,drone,turret,30,pcb7d3db
2020-03-29T15:32:50.455Z,seekermine,turret,40,pc245428
2020-03-29T03:24:25.840Z,chemlauncher,hive,40,pc31cd56
2020-03-29T14:53:18.096Z,chemlauncher,turret,40,pc7a6b7c
2020-03-29T17:26:54.583Z,shield,drone,40,pcae6154
2020-03-29T05:37:39.629Z,pulse,firefly,40,pcf66328
2020-03-29T17:11:19.904Z,drone,turret,40,pcf8c2e0
2020-03-29T16:09:51.766Z,hive,drone,40,pc20342f
2020-03-29T12:53:11.023Z,hive,drone,40,pcb0bbc7
2020-03-29T09:19:44.501Z,chemlauncher,seekermine,40,pc9853d3
2020-03-29T12:07:53.436Z,hive,decoy,40,pc5ca414
2020-03-29T14:34:17.871Z,hive,trap,40,pcf2c60a
2020-03-29T15:44:57.669Z,drone,hive,40,pc01efb6
2020-03-29T16:26:46.318Z,seekermine,hive,40,pcfcbf49
2020-03-07T04:11:54.046Z,turret,seekermine,30,pc8b82c1
2020-03-07T11:09:43.756Z,turret,seekermine,30,pc8b82c1
2020-03-08T09:18:00.730Z,shield,turret,30,pc93ec1e
2020-03-08T08:07:23.156Z,seekermine,shield,40,pcf35a1c
2020-03-08T11:30:41.650Z,turret,drone,40,pcf2c60a
2020-03-08T19:07:02.644Z,firefly,turret,30,pc24704c
2020-02-22T18:28:57.493Z,drone,seekermine,23,pceb71e4
2020-02-22T19:24:39.150Z,turret,pulse,26,pccc4851
2020-02-22T19:27:29.927Z,seekermine,hive,30,pcf2c60a
2020-02-22T08:44:03.707Z,chemlauncher,seekermine,30,pc9853d3
2020-02-22T13:32:32.512Z,chemlauncher,seekermine,30,pc9853d3
2020-03-21T10:48:30.605Z,pulse,turret,5,pc49acc9
2020-03-21T16:44:21.422Z,turret,drone,30,pcb52163
2020-03-21T07:01:20.578Z,drone,hive,40,pcf35a1c
2020-03-21T04:57:31.094Z,turret,hive,30,pc5bf7e8
2020-03-02T16:13:26.203Z,drone,firefly,16,pc0880be
2020-03-02T22:07:26.259Z,seekermine,hive,32,pcf66328
2020-03-15T23:55:09.098Z,seekermine,hive,30,pc21b8a2
2020-03-15T10:41:42.682Z,turret,drone,30,pc6ad68c
2020-03-15T18:14:50.349Z,hive,drone,40,pcb0bbc7
2020-03-15T17:22:27.863Z,seekermine,hive,30,pc46d471
2020-03-15T13:44:01.711Z,stickybomb,turret,40,pcfe7b3f
2020-03-15T14:33:39.428Z,stickybomb,turret,40,pcfe7b3f
2020-02-06T09:21:35.771Z,drone,turret,16,pce1d39e
2020-02-06T18:30:49.628Z,firefly,drone,6,pc3089f7
2020-02-06T18:02:47.537Z,turret,drone,30,pccc9420
2020-02-06T20:40:11.819Z,turret,drone,30,pcad1f5a
2020-02-06T18:40:11.413Z,drone,turret,30,pc730ad5
2020-02-06T18:54:53.355Z,drone,turret,30,pc730ad5
2020-02-06T01:11:43.617Z,drone,seekermine,30,pc868474
2020-02-06T18:01:09.716Z,drone,hive,30,pc5bdf4c
2020-02-06T05:50:04.989Z,hive,seekermine,30,pc71657e
2020-02-06T08:24:13.067Z,seekermine,drone,30,pc489314
2020-02-06T16:44:30.163Z,seekermine,turret,30,pc71657e
2020-03-16T15:25:37.619Z,seekermine,turret,30,pcd10d5d
2020-03-16T05:44:44.252Z,hive,drone,40,pcb0bbc7
2020-03-16T22:21:20.690Z,hive,shield,40,pcf1f6ba
2020-03-16T18:49:54.796Z,turret,drone,40,pc710f2f
2020-03-16T09:54:12.903Z,hive,pulse,40,pcfe7b3f
2020-03-21T10:18:52.785Z,pulse,turret,5,pc49acc9
2020-03-21T18:12:01.660Z,hive,drone,40,pc20342f
2020-03-21T15:42:20.011Z,hive,turret,30,pc7a8648
2020-03-21T15:24:04.753Z,chemlauncher,seekermine,40,pc9853d3
2020-03-21T15:39:26.228Z,hive,chemlauncher,40,pc5376ff
2020-03-11T14:18:39.202Z,drone,turret,32,pcf4d11e
2020-03-11T21:55:38.821Z,drone,seekermine,30,pcf23733
2020-03-11T01:46:21.330Z,seekermine,hive,30,pc46d471
2020-02-19T04:05:35.034Z,pulse,drone,9,pc86f8b9
2020-02-19T02:04:43.317Z,turret,drone,9,pc47868b
2020-02-19T10:56:45.372Z,pulse,drone,13,pc86f8b9
2020-02-19T12:40:45.147Z,turret,drone,9,pc47868b
2020-02-19T05:49:24.997Z,drone,turret,30,pcf4d11e
2020-02-19T14:12:23.436Z,seekermine,,30,pc45f707
2020-02-19T12:52:01.800Z,turret,hive,30,pc873c33
2020-03-26T13:02:11.352Z,pulse,hive,40,pc873c33
2020-03-26T13:47:05.508Z,chemlauncher,hive,40,pc873c33
2020-03-26T00:27:14.494Z,seekermine,hive,30,pc46d471
2020-03-26T07:09:45.799Z,hive,drone,40,pcfcbf49
2020-03-26T08:39:28.170Z,drone,turret,30,pc18e095
2020-03-26T01:54:33.891Z,pulse,hive,40,pcfe7b3f
2020-03-26T21:50:48.511Z,drone,hive,40,pc7c9168
2020-03-11T17:08:33.129Z,turret,drone,31,pc8bd44e
2020-03-11T15:04:10.570Z,drone,seekermine,40,pc1a80a5
2020-03-11T04:19:34.704Z,hive,chemlauncher,40,pc5376ff
2020-03-08T09:43:44.868Z,shield,turret,30,pc93ec1e
2020-03-08T21:22:27.319Z,seekermine,drone,30,pc20342f
2020-03-08T12:38:31.339Z,seekermine,drone,40,pc86f8b9
2020-03-08T06:17:33.702Z,drone,seekermine,30,pc6a9287
2020-03-08T17:59:08.345Z,turret,drone,30,pc6ad68c
